spatial id,temporal id,Target (normal),Normal target,_Daily_Cases t-1,_Daily_Cases t,Daily_Deaths t-1,Daily_Deaths t,retail_and_recreation_percent_change_from_baseline t-1,retail_and_recreation_percent_change_from_baseline t
1,2020-04-11,131.89999999999998,131.89999999999998,94,20,156.79999999999998,31.0,10,10
1,2020-04-12,12.0,12.0,20,22,31.0,23.3,10,47
1,2020-04-13,126.79999999999998,126.79999999999998,22,29,23.3,48.4,47,3
1,2020-04-14,32.5,32.5,29,84,48.4,120.89999999999998,3,73
1,2020-04-15,-6.100000000000001,-6.100000000000001,84,20,120.89999999999998,12.7,73,71
1,2020-04-16,142.70000000000002,142.70000000000002,20,66,12.7,97.2,71,50
1,2020-04-17,59.0,59.0,66,39,97.2,65.7,50,2
1,2020-04-18,136.20000000000002,136.20000000000002,39,4,65.7,2.3,2,15
1,2020-04-19,111.0,111.0,4,71,2.3,96.1,15,82
1,2020-04-20,102.4,102.4,71,69,96.1,100.2,82,57
1,2020-04-21,6.6,6.6,69,58,100.2,89.6,57,30
1,2020-04-22,-10.3,-10.3,58,44,89.6,64.89999999999999,30,33
1,2020-04-23,16.799999999999997,16.799999999999997,44,69,64.89999999999999,91.2,33,87
1,2020-04-24,49.49999999999999,49.49999999999999,69,70,91.2,90.5,87,95
1,2020-04-25,137.99999999999997,137.99999999999997,70,79,90.5,131.89999999999998,95,8
1,2020-04-26,-14.9,-14.9,79,9,131.89999999999998,12.0,8,11
1,2020-04-27,91.4,91.4,9,76,12.0,126.79999999999998,11,8
1,2020-04-28,95.5,95.5,76,26,126.79999999999998,32.5,8,39
1,2020-04-29,141.7,141.7,26,13,32.5,-6.100000000000001,39,94
1,2020-04-30,127.5,127.5,13,97,-6.100000000000001,142.70000000000002,94,74
1,2020-05-01,96.4,96.4,97,40,142.70000000000002,59.0,74,30
1,2020-05-02,5.199999999999999,5.199999999999999,40,87,59.0,136.20000000000002,30,39
1,2020-05-03,19.3,19.3,87,66,136.20000000000002,111.0,39,4
1,2020-05-04,35.8,35.8,66,77,111.0,102.4,4,95
1,2020-05-05,48.9,48.9,77,12,102.4,6.6,95,46
1,2020-05-06,108.9,108.9,12,1,6.6,-10.3,46,40
1,2020-05-07,103.2,103.2,1,21,-10.3,16.799999999999997,40,63
1,2020-05-08,-21.6,-21.6,21,42,16.799999999999997,49.49999999999999,63,73
1,2020-05-09,100.8,100.8,42,84,49.49999999999999,137.99999999999997,73,16
1,2020-05-10,49.2,49.2,84,5,137.99999999999997,-14.9,16,78
1,2020-05-11,-13.4,-13.4,5,55,-14.9,91.4,78,7
1,2020-05-12,21.6,21.6,55,65,91.4,95.5,7,50
1,2020-05-13,130.29999999999998,130.29999999999998,65,95,95.5,141.7,50,66
1,2020-05-14,-6.0,-6.0,95,81,141.7,127.5,66,34
1,2020-05-15,74.3,74.3,81,62,127.5,96.4,34,30
1,2020-05-16,79.0,79.0,62,11,96.4,5.199999999999999,30,45
1,2020-05-17,77.39999999999999,77.39999999999999,11,14,5.199999999999999,19.3,45,15
1,2020-05-18,12.299999999999995,12.299999999999995,14,26,19.3,35.8,15,28
1,2020-05-19,4.699999999999999,4.699999999999999,26,30,35.8,48.9,28,7
1,2020-05-20,159.5,159.5,30,69,48.9,108.9,7,28
1,2020-05-21,86.3,86.3,69,69,108.9,103.2,28,47
1,2020-05-22,50.69999999999999,50.69999999999999,69,3,103.2,-21.6,47,89
1,2020-05-23,47.8,47.8,3,75,-21.6,100.8,89,89
1,2020-05-24,90.3,90.3,75,30,100.8,49.2,89,6
1,2020-05-25,51.3,51.3,30,8,49.2,-13.4,6,90
1,2020-05-26,-24.6,-24.6,8,18,-13.4,21.6,90,30
1,2020-05-27,-3.9,-3.9,18,89,21.6,130.29999999999998,30,70
1,2020-05-28,141.20000000000002,141.20000000000002,89,6,130.29999999999998,-6.0,70,54
1,2020-05-29,-21.1,-21.1,6,58,-6.0,74.3,54,81
1,2020-05-30,47.5,47.5,58,53,74.3,79.0,81,37
1,2020-05-31,154.29999999999998,154.29999999999998,53,57,79.0,77.39999999999999,37,65
1,2020-06-01,91.0,91.0,57,21,77.39999999999999,12.299999999999995,65,78
1,2020-06-02,0.5999999999999996,0.5999999999999996,21,16,12.299999999999995,4.699999999999999,78,75
1,2020-06-03,51.9,51.9,16,97,4.699999999999999,159.5,75,18
1,2020-06-04,113.7,113.7,97,55,159.5,86.3,18,24
1,2020-06-05,62.39999999999999,62.39999999999999,55,42,86.3,50.69999999999999,24,69
1,2020-06-06,127.7,127.7,42,29,50.69999999999999,47.8,69,5
1,2020-06-07,12.0,12.0,29,69,47.8,90.3,5,90
1,2020-06-08,2.8,2.8,69,33,90.3,51.3,90,16
1,2020-06-09,37.9,37.9,33,3,51.3,-24.6,16,99
1,2020-06-10,4.4,4.4,3,3,-24.6,-3.9,99,30
1,2020-06-11,60.99999999999999,60.99999999999999,3,97,-3.9,141.20000000000002,30,79
1,2020-06-12,151.3,151.3,97,4,141.20000000000002,-21.1,79,93
1,2020-06-13,126.6,126.6,4,38,-21.1,47.5,93,57
1,2020-06-14,143.1,143.1,38,98,47.5,154.29999999999998,57,41
1,2020-06-15,13.1,13.1,98,71,154.29999999999998,91.0,41,99
1,2020-06-16,-6.600000000000001,-6.600000000000001,71,9,91.0,0.5999999999999996,99,49
1,2020-06-17,-26.2,-26.2,9,36,0.5999999999999996,51.9,49,31
1,2020-06-18,-1.5,-1.5,36,81,51.9,113.7,31,80
1,2020-06-19,73.6,73.6,81,48,113.7,62.39999999999999,80,64
1,2020-06-20,140.7,140.7,48,85,62.39999999999999,127.7,64,56
1,2020-06-21,-18.7,-18.7,85,15,127.7,12.0,56,45
1,2020-06-22,23.5,23.5,15,2,12.0,2.8,45,2
1,2020-06-23,47.6,47.6,2,29,2.8,37.9,2,38
1,2020-06-24,64.9,64.9,29,10,37.9,4.4,38,42
1,2020-06-25,-2.1999999999999997,-2.1999999999999997,10,38,4.4,60.99999999999999,42,12
1,2020-06-26,-11.6,-11.6,38,92,60.99999999999999,151.3,12,17
1,2020-06-27,41.1,41.1,92,87,151.3,126.6,17,71
1,2020-06-28,137.8,137.8,87,87,126.6,143.1,71,16
1,2020-06-29,-0.3000000000000007,-0.3000000000000007,87,25,143.1,13.1,16,98
1,2020-06-30,135.0,135.0,25,12,13.1,-6.600000000000001,98,90
1,2020-07-01,152.3,152.3,12,1,-6.600000000000001,-26.2,90,93
1,2020-07-02,138.4,138.4,1,12,-26.2,-1.5,93,73
1,2020-07-03,110.3,110.3,12,50,-1.5,73.6,73,38
1,2020-07-04,94.3,94.3,50,90,73.6,140.7,38,41
1,2020-07-05,63.0,63.0,90,1,140.7,-18.7,41,68
1,2020-07-06,62.0,62.0,1,26,-18.7,23.5,68,69
1,2020-07-07,76.6,76.6,26,37,23.5,47.6,69,51
1,2020-07-08,29.9,29.9,37,41,47.6,64.9,51,16
1,2020-07-09,38.2,38.2,41,16,64.9,-2.1999999999999997,16,98
1,2020-07-10,7.699999999999999,7.699999999999999,16,8,-2.1999999999999997,-11.6,98,84
1,2020-07-11,-6.9,-6.9,8,36,-11.6,41.1,84,67
1,2020-07-12,62.6,62.6,36,95,41.1,137.8,67,79
1,2020-07-13,47.400000000000006,47.400000000000006,95,6,137.8,-0.3000000000000007,79,35
1,2020-07-14,22.5,22.5,6,81,-0.3000000000000007,135.0,35,9
1,2020-07-15,33.1,33.1,81,97,135.0,152.3,9,42
1,2020-07-16,13.0,13.0,97,83,152.3,138.4,42,9
1,2020-07-17,156.7,156.7,83,73,138.4,110.3,9,46
1,2020-07-18,30.8,30.8,73,71,110.3,94.3,46,88
1,2020-07-19,69.1,69.1,71,45,94.3,63.0,88,45
1,2020-07-20,46.49999999999999,46.49999999999999,45,46,63.0,62.0,45,54
1,2020-07-21,28.700000000000003,28.700000000000003,46,62,62.0,76.6,54,96
1,2020-07-22,12.2,12.2,62,34,76.6,29.9,96,93
1,2020-07-23,134.7,134.7,34,23,29.9,38.2,93,3
1,2020-07-24,114.1,114.1,23,22,38.2,7.699999999999999,3,99
1,2020-07-25,74.6,74.6,22,3,7.699999999999999,-6.9,99,40
1,2020-07-26,138.7,138.7,3,37,-6.9,62.6,40,1
1,2020-07-27,27.8,27.8,37,45,62.6,47.400000000000006,1,97
1,2020-07-28,86.4,86.4,45,27,47.400000000000006,22.5,97,78
1,2020-07-29,50.7,50.7,27,35,22.5,33.1,78,88
1,2020-07-30,38.5,38.5,35,17,33.1,13.0,88,53
1,2020-07-31,97.0,97.0,17,95,13.0,156.7,53,16
1,2020-08-01,-14.7,-14.7,95,28,156.7,30.8,16,56
1,2020-08-02,0.8000000000000007,0.8000000000000007,28,50,30.8,69.1,56,53
1,2020-08-03,-10.2,-10.2,50,42,69.1,46.49999999999999,53,83
1,2020-08-04,-3.799999999999999,-3.799999999999999,42,25,46.49999999999999,28.700000000000003,83,46
1,2020-08-05,70.5,70.5,25,16,28.700000000000003,12.2,46,50
1,2020-08-06,107.0,107.0,16,81,12.2,134.7,50,10
1,2020-08-07,22.0,22.0,81,77,134.7,114.1,10,56
1,2020-08-08,85.89999999999999,85.89999999999999,77,52,114.1,74.6,56,46
1,2020-08-09,58.3,58.3,52,98,74.6,138.7,46,93
1,2020-08-10,77.89999999999999,77.89999999999999,98,22,138.7,27.8,93,32
1,2020-08-11,101.3,101.3,22,66,27.8,86.4,32,86
1,2020-08-12,-22.5,-22.5,66,45,86.4,50.7,86,86
1,2020-08-13,62.6,62.6,45,38,50.7,38.5,86,87
1,2020-08-14,115.0,115.0,38,62,38.5,97.0,87,28
1,2020-08-15,54.3,54.3,62,6,97.0,-14.7,28,83
1,2020-08-16,11.0,11.0,6,10,-14.7,0.8000000000000007,83,54
1,2020-08-17,121.2,121.2,10,9,0.8000000000000007,-10.2,54,85
1,2020-08-18,16.0,16.0,9,5,-10.2,-3.799999999999999,85,41
1,2020-08-19,97.0,97.0,5,57,-3.799999999999999,70.5,41,88
1,2020-08-20,42.1,42.1,57,76,70.5,107.0,88,74
1,2020-08-21,5.399999999999999,5.399999999999999,76,14,107.0,22.0,74,6
1,2020-08-22,44.6,44.6,14,53,22.0,85.89999999999999,6,14
1,2020-08-23,146.39999999999998,146.39999999999998,53,44,85.89999999999999,58.3,14,55
1,2020-08-24,103.7,103.7,44,58,58.3,77.89999999999999,55,69
1,2020-08-25,133.89999999999998,133.89999999999998,58,70,77.89999999999999,101.3,69,59
1,2020-08-26,60.400000000000006,60.400000000000006,70,3,101.3,-22.5,59,92
1,2020-08-27,137.3,137.3,3,40,-22.5,62.6,92,18
1,2020-08-28,61.5,61.5,40,74,62.6,115.0,18,36
1,2020-08-29,22.5,22.5,74,33,115.0,54.3,36,6
1,2020-08-30,6.7,6.7,33,22,54.3,11.0,6,88
1,2020-08-31,68.19999999999999,68.19999999999999,22,72,11.0,121.2,88,4
1,2020-09-01,129.1,129.1,72,20,121.2,16.0,4,60
1,2020-09-02,34.599999999999994,34.599999999999994,20,65,16.0,97.0,60,45
1,2020-09-03,41.3,41.3,65,29,97.0,42.1,45,24
1,2020-09-04,24.0,24.0,29,9,42.1,5.399999999999999,24,33
1,2020-09-05,117.0,117.0,9,31,5.399999999999999,44.6,33,27
1,2020-09-06,146.7,146.7,31,96,44.6,146.39999999999998,27,56
1,2020-09-07,84.6,84.6,96,67,146.39999999999998,103.7,56,34
1,2020-09-08,89.39999999999999,89.39999999999999,67,86,103.7,133.89999999999998,34,41
1,2020-09-09,49.4,49.4,86,50,133.89999999999998,60.400000000000006,41,82
1,2020-09-10,96.6,96.6,50,85,60.400000000000006,137.3,82,24
1,2020-09-11,123.7,123.7,85,51,137.3,61.5,24,84
1,2020-09-12,91.8,91.8,51,21,61.5,22.5,84,44
1,2020-09-13,122.9,122.9,21,5,22.5,6.7,44,6
1,2020-09-14,105.0,105.0,5,47,6.7,68.19999999999999,6,39
1,2020-09-15,75.69999999999999,75.69999999999999,47,77,68.19999999999999,129.1,39,6
1,2020-09-16,102.7,102.7,77,29,129.1,34.599999999999994,6,49
1,2020-09-17,16.400000000000002,16.400000000000002,29,37,34.599999999999994,41.3,49,72
1,2020-09-18,65.9,65.9,37,30,41.3,24.0,72,90
1,2020-09-19,19.9,19.9,30,84,24.0,117.0,90,86
1,2020-09-20,99.4,99.4,84,93,117.0,146.7,86,38
1,2020-09-21,76.6,76.6,93,60,146.7,84.6,38,58
1,2020-09-22,109.4,109.4,60,63,84.6,89.39999999999999,58,59
1,2020-09-23,35.3,35.3,63,31,89.39999999999999,49.4,59,11
1,2020-09-24,48.8,48.8,31,69,49.4,96.6,11,69
1,2020-09-25,80.0,80.0,69,89,96.6,123.7,69,92
1,2020-09-26,32.8,32.8,89,60,123.7,91.8,92,34
1,2020-09-27,104.8,104.8,60,82,91.8,122.9,34,55
1,2020-09-28,129.1,129.1,82,78,122.9,105.0,55,92
1,2020-09-29,154.0,154.0,78,62,105.0,75.69999999999999,92,99
1,2020-09-30,62.5,62.5,62,68,75.69999999999999,102.7,99,43
1,2020-10-01,117.4,117.4,68,25,102.7,16.400000000000002,43,87
1,2020-10-02,125.3,125.3,25,46,16.400000000000002,65.9,87,41
1,2020-10-03,21.1,21.1,46,17,65.9,19.9,41,30
1,2020-10-04,142.7,142.7,17,59,19.9,99.4,30,3
1,2020-10-05,107.0,107.0,59,53,99.4,76.6,3,45
1,2020-10-06,133.1,133.1,53,70,76.6,109.4,45,32
1,2020-10-07,126.0,126.0,70,22,109.4,35.3,32,7
1,2020-10-08,89.5,89.5,22,34,35.3,48.8,7,30
1,2020-10-09,-4.3,-4.3,34,55,48.8,80.0,30,45
1,2020-10-10,28.0,28.0,55,20,80.0,32.8,45,4
1,2020-10-11,29.8,29.8,20,62,32.8,104.8,4,2
1,2020-10-12,107.7,107.7,62,89,104.8,129.1,2,74
1,2020-10-13,20.9,20.9,89,95,129.1,154.0,74,25
1,2020-10-14,130.89999999999998,130.89999999999998,95,53,154.0,62.5,25,92
1,2020-10-15,58.9,58.9,53,86,62.5,117.4,92,96
1,2020-10-16,125.5,125.5,86,82,117.4,125.3,96,47
1,2020-10-17,50.3,50.3,82,23,125.3,21.1,47,60
1,2020-10-18,85.9,85.9,23,91,21.1,142.7,60,40
1,2020-10-19,9.2,9.2,91,76,142.7,107.0,40,74
1,2020-10-20,43.7,43.7,76,88,107.0,133.1,74,55
1,2020-10-21,2.3000000000000007,2.3000000000000007,88,75,133.1,126.0,55,5
1,2020-10-22,65.4,65.4,75,65,126.0,89.5,5,70
1,2020-10-23,69.3,69.3,65,1,89.5,-4.3,70,20
1,2020-10-24,161.3,161.3,1,20,-4.3,28.0,20,20
1,2020-10-25,-7.800000000000001,-7.800000000000001,20,20,28.0,29.8,20,14
1,2020-10-26,80.1,80.1,20,78,29.8,107.7,14,83
1,2020-10-27,122.8,122.8,78,25,107.7,20.9,83,72
1,2020-10-28,40.60000000000001,40.60000000000001,25,89,20.9,130.89999999999998,72,68
1,2020-10-29,9.599999999999998,9.599999999999998,89,35,130.89999999999998,58.9,68,2
1,2020-10-30,-1.0999999999999996,-1.0999999999999996,35,74,58.9,125.5,2,1
1,2020-10-31,12.8,12.8,74,43,125.5,50.3,1,76
1,2020-11-01,23.200000000000003,23.200000000000003,43,59,50.3,85.9,76,48
1,2020-11-02,55.0,55.0,59,10,85.9,9.2,48,26
1,2020-11-03,139.9,139.9,10,37,9.2,43.7,26,64
1,2020-11-04,4.8,4.8,37,7,43.7,2.3000000000000007,64,32
1,2020-11-05,163.2,163.2,7,51,2.3000000000000007,65.4,32,71
1,2020-11-06,86.8,86.8,51,48,65.4,69.3,71,41
1,2020-11-07,94.9,94.9,48,97,69.3,161.3,41,12
1,2020-11-08,44.3,44.3,97,6,161.3,-7.800000000000001,12,60
1,2020-11-09,103.4,103.4,6,63,-7.800000000000001,80.1,60,90
1,2020-11-10,104.7,104.7,63,77,80.1,122.8,90,27
1,2020-11-11,109.7,109.7,77,41,122.8,40.60000000000001,27,97
1,2020-11-12,33.2,33.2,41,18,40.60000000000001,9.599999999999998,97,70
1,2020-11-13,59.49999999999999,59.49999999999999,18,5,9.599999999999998,-1.0999999999999996,70,32
1,2020-11-14,84.39999999999999,84.39999999999999,5,16,-1.0999999999999996,12.8,32,48
1,2020-11-15,151.0,151.0,16,20,12.8,23.200000000000003,48,36
1,2020-11-16,-2.6000000000000014,-2.6000000000000014,20,35,23.200000000000003,55.0,36,15
1,2020-11-17,106.5,106.5,35,95,55.0,139.9,15,72
1,2020-11-18,132.3,132.3,95,6,139.9,4.8,72,18
1,2020-11-19,128.0,128.0,6,99,4.8,163.2,18,17
1,2020-11-20,103.6,103.6,99,68,163.2,86.8,17,96
1,2020-11-21,114.1,114.1,68,68,86.8,94.9,96,69
1,2020-11-22,166.6,166.6,68,28,94.9,44.3,69,11
1,2020-11-23,-4.699999999999999,-4.699999999999999,28,67,44.3,103.4,11,35
1,2020-11-24,21.0,21.0,67,78,103.4,104.7,35,93
1,2020-11-25,70.80000000000001,70.80000000000001,78,73,104.7,109.7,93,48
1,2020-11-26,109.7,109.7,73,22,109.7,33.2,48,14
1,2020-11-27,93.5,93.5,22,47,33.2,59.49999999999999,14,68
1,2020-11-28,24.5,24.5,47,53,59.49999999999999,84.39999999999999,68,19
1,2020-11-29,64.8,64.8,53,92,84.39999999999999,151.0,19,18
1,2020-11-30,114.5,114.5,92,11,151.0,-2.6000000000000014,18,71
1,2020-12-01,88.19999999999999,88.19999999999999,11,69,-2.6000000000000014,106.5,71,36
1,2020-12-02,45.1,45.1,69,87,106.5,132.3,36,52
1,2020-12-03,50.0,50.0,87,91,132.3,128.0,52,89
1,2020-12-04,80.80000000000001,80.80000000000001,91,71,128.0,103.6,89,57
1,2020-12-05,71.89999999999999,71.89999999999999,71,83,103.6,114.1,57,90
1,2020-12-06,0.8999999999999986,0.8999999999999986,83,98,114.1,166.6,90,0
1,2020-12-07,75.89999999999999,75.89999999999999,98,5,166.6,-4.699999999999999,0,44
1,2020-12-08,1.1000000000000014,1.1000000000000014,5,24,-4.699999999999999,21.0,44,66
1,2020-12-09,61.39999999999999,61.39999999999999,24,51,21.0,70.80000000000001,66,53
1,2020-12-10,128.6,128.6,51,76,70.80000000000001,109.7,53,65
1,2020-12-11,116.09999999999998,116.09999999999998,76,61,109.7,93.5,65,34
1,2020-12-12,103.9,103.9,61,25,93.5,24.5,34,60
1,2020-12-13,147.9,147.9,25,39,24.5,64.8,60,5
1,2020-12-14,126.9,126.9,39,76,64.8,114.5,5,49
1,2020-12-15,70.6,70.6,76,57,114.5,88.19999999999999,49,29
1,2020-12-16,3.4000000000000004,3.4000000000000004,57,44,88.19999999999999,45.1,29,99
1,2020-12-17,101.8,101.8,44,43,45.1,50.0,99,77
1,2020-12-18,39.8,39.8,43,56,50.0,80.80000000000001,77,48
1,2020-12-19,-2.1999999999999997,-2.1999999999999997,56,43,80.80000000000001,71.89999999999999,48,4
1,2020-12-20,150.6,150.6,43,18,71.89999999999999,0.8999999999999986,4,99
1,2020-12-21,72.2,72.2,18,48,0.8999999999999986,75.89999999999999,99,19
1,2020-12-22,4.0,4.0,48,10,75.89999999999999,1.1000000000000014,19,53
1,2020-12-23,104.6,104.6,10,52,1.1000000000000014,61.39999999999999,53,90
1,2020-12-24,115.0,115.0,52,82,61.39999999999999,128.6,90,36
1,2020-12-25,42.1,42.1,82,84,128.6,116.09999999999998,36,89
1,2020-12-26,94.5,94.5,84,71,116.09999999999998,103.9,89,56
1,2020-12-27,103.8,103.8,71,90,103.9,147.9,56,17
1,2020-12-28,126.7,126.7,90,90,147.9,126.9,17,87
1,2020-12-29,50.1,50.1,90,44,126.9,70.6,87,14
1,2020-12-30,38.7,38.7,44,8,70.6,3.4000000000000004,14,34
1,2020-12-31,118.09999999999998,118.09999999999998,8,77,3.4000000000000004,101.8,34,97
1,2021-01-01,103.7,103.7,77,40,101.8,39.8,97,94
1,2021-01-02,5.6,5.6,40,16,39.8,-2.1999999999999997,94,98
1,2021-01-03,16.199999999999996,16.199999999999996,16,90,-2.1999999999999997,150.6,98,8
1,2021-01-04,68.1,68.1,90,49,150.6,72.2,8,37
1,2021-01-05,25.6,25.6,49,17,72.2,4.0,37,83
1,2021-01-06,-10.7,-10.7,17,73,4.0,104.6,83,65
1,2021-01-07,41.0,41.0,73,74,104.6,115.0,65,36
1,2021-01-08,38.5,38.5,74,29,115.0,42.1,36,24
1,2021-01-09,110.6,110.6,29,60,42.1,94.5,24,25
1,2021-01-10,12.6,12.6,60,63,94.5,103.8,25,11
1,2021-01-11,41.9,41.9,63,86,103.8,126.7,11,65
1,2021-01-12,12.5,12.5,86,45,126.7,50.1,65,88
1,2021-01-13,4.6,4.6,45,30,50.1,38.7,88,41
1,2021-01-14,72.1,72.1,30,79,38.7,118.09999999999998,41,54
1,2021-01-15,16.7,16.7,79,67,118.09999999999998,103.7,54,34
1,2021-01-16,84.7,84.7,67,4,103.7,5.6,34,4
1,2021-01-17,73.6,73.6,4,21,5.6,16.199999999999996,4,65
1,2021-01-18,63.7,63.7,21,42,16.199999999999996,68.1,65,11
1,2021-01-19,103.0,103.0,42,23,68.1,25.6,11,45
1,2021-01-20,-7.199999999999999,-7.199999999999999,23,8,25.6,-10.7,45,81
1,2021-01-21,102.7,102.7,8,34,-10.7,41.0,81,56
1,2021-01-22,86.0,86.0,34,32,41.0,38.5,56,53
1,2021-01-23,146.4,146.4,32,70,38.5,110.6,53,28
1,2021-01-24,5.899999999999999,5.899999999999999,70,9,110.6,12.6,28,9
1,2021-01-25,78.39999999999999,78.39999999999999,9,25,12.6,41.9,9,2
1,2021-01-26,39.4,39.4,25,22,41.9,12.5,2,83
1,2021-01-27,-7.200000000000001,-7.200000000000001,22,5,12.5,4.6,83,13
1,2021-01-28,-1.599999999999998,-1.599999999999998,5,50,4.6,72.1,13,43
1,2021-01-29,-2.1,-2.1,50,13,72.1,16.7,43,18
1,2021-01-30,64.1,64.1,13,56,16.7,84.7,18,35
1,2021-01-31,87.30000000000001,87.30000000000001,56,53,84.7,73.6,35,55
1,2021-02-01,75.4,75.4,53,53,73.6,63.7,55,88
1,2021-02-02,61.2,61.2,53,62,63.7,103.0,88,8
1,2021-02-03,-15.7,-15.7,62,3,103.0,-7.199999999999999,8,41
1,2021-02-04,70.89999999999999,70.89999999999999,3,77,-7.199999999999999,102.7,41,94
1,2021-02-05,26.200000000000003,26.200000000000003,77,55,102.7,86.0,94,25
1,2021-02-06,122.9,122.9,55,90,86.0,146.4,25,22
1,2021-02-07,80.6,80.6,90,16,146.4,5.899999999999999,22,71
1,2021-02-08,9.6,9.6,16,47,5.899999999999999,78.39999999999999,71,5
1,2021-02-09,93.7,93.7,47,26,78.39999999999999,39.4,5,16
1,2021-02-10,53.9,53.9,26,9,39.4,-7.200000000000001,16,75
1,2021-02-11,82.3,82.3,9,10,-7.200000000000001,-1.599999999999998,75,62
1,2021-02-12,29.5,29.5,10,9,-1.599999999999998,-2.1,62,58
1,2021-02-13,145.5,145.5,9,52,-2.1,64.1,58,81
1,2021-02-14,121.0,121.0,52,66,64.1,87.30000000000001,81,83
1,2021-02-15,101.2,101.2,66,56,87.30000000000001,75.4,83,66
1,2021-02-16,13.8,13.8,56,39,75.4,61.2,66,17
1,2021-02-17,102.5,102.5,39,1,61.2,-15.7,17,58
1,2021-02-18,89.8,89.8,1,44,-15.7,70.89999999999999,58,13
1,2021-02-19,70.69999999999999,70.69999999999999,44,23,70.89999999999999,26.200000000000003,13,43
1,2021-02-20,118.3,118.3,23,88,26.200000000000003,122.9,43,89
1,2021-02-21,60.2,60.2,88,64,122.9,80.6,89,94
1,2021-02-22,76.2,76.2,64,15,80.6,9.6,94,53
1,2021-02-23,39.400000000000006,39.400000000000006,15,59,9.6,93.7,53,22
